codgr;libgr;sougr;libsougr;sougr ciqual correspondant;SAIN 5 opt;LIM3;;;;;;
33;boissons alcoolisées;1;vin;vin;1.08420944313934;1.43049208324185;;;;;;
33;boissons alcoolisées;2;bière;bière et cidre;0.321618973571914;0.854259611657328;;;;;;
33;boissons alcoolisées;3;cidre;bière et cidre;0.321618973571914;0.854259611657328;;;;;;
33;boissons alcoolisées;4;spiritueux et vins cuits;cocktails;0.737094199619085;6.54270509006974;;;;;;
33;boissons alcoolisées;5;cocktails et mélanges;cocktails;0.737094199619085;6.54270509006974;;;;;;
34;café;99;café;café, thé, cacao etc, prÃªts Ã  consommer + boissons Ã  reconstituer ;5.91144193153568;14.1545290329957;;;;;;
35;autres boissons chaudes;1;cacao, poudres et boissons cacaotées;café, thé, cacao etc, prÃªts Ã  consommer + boissons Ã  reconstituer ;5.91144193153568;14.1545290329957;;;;;;
35;autres boissons chaudes;2;chicorée et poudre maltée;café, thé, cacao etc, prÃªts Ã  consommer + boissons Ã  reconstituer ;5.91144193153568;14.1545290329957;;;;;;
35;autres boissons chaudes;3;thé et infusions;café, thé, cacao etc, prÃªts Ã  consommer + boissons Ã  reconstituer ;5.91144193153568;14.1545290329957;;;;;;
36;pizzas, quiches et pâtisseries salées;1;pizzas;pizzas, tartes et crÃªpes salées;2.48242318330051;12.1088839730381;;;;;;
36;pizzas, quiches et pâtisseries salées;2;quiches et tartes salées;pizzas, tartes et crÃªpes salées;2.48242318330051;12.1088839730381;;;;;;
36;pizzas, quiches et pâtisseries salées;3;feuilletés et friands;feuilletées et autres entrées;2.75926849960083;13.7679533200704;;;;;;
37;sandwichs, casse-croûte;1;sandwichs baguette;sandwichs;2.44453664956254;12.1779882315063;;;;;;
37;sandwichs, casse-croûte;2;hamburgers et hot-dog;sandwichs;2.44453664956254;12.1779882315063;;;;;;
37;sandwichs, casse-croûte;3;autres sandwichs;sandwichs;2.44453664956254;12.1779882315063;;;;;;
38;soupes et bouillons;1;potages et soupes;soupes;2.91148394330054;4.24477955411476;;;;;;
38;soupes et bouillons;2;bouillons;soupes;2.91148394330054;4.24477955411476;;;;;;
39;plats composés;1;plats garnis à base de viande;plats de viande et féculents + plats de viande et légumes/légumineuses ;4.12921328892464;7.3804349884858;;;;;;
39;plats composés;2;plats à base de pâtes ou de pommes de terre;plats de céréales/pâtes;2.19761296255605;8.44366224887633;;;;;;
39;plats composés;3;beignets, crêpes et bouchées à la reine;pizzas, tartes et crêpes salées;2.48242318330051;12.1088839730381;;;;;;
39;plats composés;4;plats sans garniture;plats de viande sans garniture + plats de poisson sans garniture ;3.95854059764927;7.00931285740372;;;;;;
39;plats composés;5;plats à base de fromage;plats de fromage;4.84416978323822;19.5892382114837;;;;;;
39;plats composés;6;plats à base de légumes;plats de légumes/légumineuses;4.78104944253844;8.10553424163319;;;;;;
39;plats composés;7;garnitures composées;salades composées et crudités;2.85197258969209;2.3487749109966;;;;;;
41;entremets, crèmes desserts et laits gélifiés;1;crème dessert et lait gélifié;desserts lactés;2.37390474322696;12.3377334076573;;;;;;
41;entremets, crèmes desserts et laits gélifiés;2;entremets;autres desserts;4.05562249154427;18.8214088914838;;;;;;
42;compotes et fruits cuits;1;compotes;compotes et assimilés;0.458148097363784;8.94542630021539;;;;;;
42;compotes et fruits cuits;2;fruits au sirop;fruits appertisés;0;2.99354144041109;;;;;;
43;condiments et sauces;1;sauces;sauces chaudes;2.78347118399411;12.194149233641;;;;;;
43;condiments et sauces;2;herbes aromatiques;herbes fraîches + herbes séchés;49.6216133425353;3.11476258438675;;;;;;
43;condiments et sauces;3;sel et épices;Sels + épices;9.81421519538941;38.9302726356492;;;;;;
43;condiments et sauces;4;condiments d'accompagnement;Condiments + aides culinaires;2.2563135048336;65.681537035224;;;;;;
43;condiments et sauces;5;condiments d'assaisonnement;Condiments + aides culinaires;2.2563135048336;65.681537035224;;;;;;
44;aliments destinés à une alimentation particulière;99;aliments destinés à une alimentation particulière;denrées destinées Ã  une alimentation particulière;12.1314504992664;6.69258768464858;;;;;;
